ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
East Midlands ,E07000174,Mansfield,792,825,831,862,898,945,"1,013","1,078","1,123","1,170","1,194","1,145","1,175","1,215","1,273","1,292","1,368","1,428","1,459","1,498","1,585","1,673","1,669","1,756","1,937","2,148"
East Midlands ,E07000175,Newark and Sherwood,"1,251","1,324","1,365","1,389","1,440","1,523","1,567","1,635","1,718","1,778","1,834","1,799","1,849","1,971","2,010","2,068","2,067","2,188","2,255","2,372","2,420","2,522","2,457","2,596","2,912","3,014"
East Midlands ,E07000172,Broxtowe,"1,256","1,299","1,280","1,282","1,351","1,397","1,450","1,576","1,639","1,692","1,708","1,729","1,785","1,844","1,929","1,996","1,965","2,032","2,099","2,121","2,125","1,970","2,017","2,196","2,479","2,781"
East Midlands ,E07000173,Gedling,862,882,887,931,963,982,"1,016","1,072","1,118","1,166","1,204","1,165","1,193","1,215","1,284","1,289","1,310","1,375","1,408","1,445","1,460","1,504","1,541","1,669","1,785","1,970"
East Midlands ,E07000176,Rushcliffe,"1,246","1,307","1,338","1,431","1,450","1,482","1,579","1,668","1,733","1,854","1,955","1,903","1,956","1,936","2,005","2,132","2,178","2,227","2,245","2,364","2,741","3,066","3,014","2,960","3,395","3,684"
East Midlands ,E06000016,Leicester,"3,813","3,928","4,132","4,249","4,365","4,667","5,018","5,266","5,648","5,968","6,223","6,181","6,468","6,522","6,784","7,022","7,624","7,886","8,106","8,231","8,579","8,790","8,427","9,174","9,506","10,320"
East Midlands ,E06000017,Rutland,462,475,512,528,542,567,590,613,648,664,701,668,701,686,707,706,733,777,813,792,817,802,803,916,"1,006","1,083"
East Midlands ,E07000129,Blaby,"1,468","1,457","1,565","1,590","1,669","1,805","2,056","2,175","2,353","2,544","2,738","2,876","2,846","2,704","2,951","3,248","3,399","3,519","3,421","3,569","3,639","3,665","3,221","3,550","4,300","5,047"
East Midlands ,E07000130,Charnwood,"1,883","1,945","2,075","2,263","2,356","2,488","2,610","2,724","2,847","2,889","3,079","2,945","3,013","2,985","3,033","2,909","3,020","3,190","3,410","3,547","3,659","3,643","3,614","3,962","4,218","4,961"
East Midlands ,E07000131,Harborough,"1,025","1,068","1,113","1,121","1,173","1,268","1,299","1,365","1,468","1,562","1,606","1,516","1,599","1,590","1,625","1,645","1,802","1,893","1,901","2,014","2,067","2,182","2,096","2,269","2,467","2,661"
